Phone_clean,Address_clean,Email_clean,Name_clean,is_duplicate
6797822671,469 amy terrace apt 187 east james pw 56805,qmiller@example.org,rachel stanton,0
4866978007,6343 howe mill suite 450 townsendport pw 87994,sarahwhitaker@example.com,chad mccoy,0
6776970508,80812 scott point apt 753 south seanton fm 34783,ibryant@example.com,jacob burns,0
3198841217,psc 2684 box 2888 apo ap 17830,ramseytyler@example.net,andrew mendoza,0
9660039161,655 lauren rds suite 889 gentryville ca 20267,rangeljennifer@example.com,pamela robinson,0
6433722737,6003 patricia summit hamptonstad pw 07936,farmeremily@example.net,christopher hicks,0
4866978007,6343 howe mill suite 450 townsendport pw 87994,sarahwhitaker@example.com,chad mccoy,1
3087867170,35249 espinoza lodge suite 392 taylorbury va 73122,timothy91@example.com,susan patton,0
9073241591,6333 douglas vista gordonport ri 54066,acraig@example.net,jonathan harris,0
1707102771,usnv levy fpo ae 97124,landerson@example.org,lindsay salas,0
4477344441,unit 7811 box 0435 dpo ap 86881,xchan@example.net,david freeman,0
5762050289,6922 kristen pine apt 107 south donna mh 66928,odunn@example.com,carmen brown dvm,0
8734617346,386 dana falls lake tina nc 94868,kingamber@example.net,jonathan harmon,0
5928181044,806 chavez junctions apt 460 jeanneland nj 98408,rsanchez@example.net,shelby walters,0
2773727143,07140 maria locks east coreyview fm 44873,jmarsh@example.org,michele schmitt,0
3777123327,5878 ford lakes coxburgh md 20075,jonesashley@example.org,lisa davis,0
1403810758,077 alec route north ashley hi 29790,silvadavid@example.net,henry lopez md,0
7065421198,1299 lewis brooks apt 284 smithbury mo 06162,jonathan13@example.org,kimberly obrien,0
7893041385,736 carlson route suite 370 adamsborough de 45056,shane10@example.net,jennifer reeves,0
4477344441,unit 7811 box 0435 dpo ap 86881,xchan@example.net,david freeman,1
2386202936,112 walker circles suite 401 south amybury mi 07275,matthew94@example.com,jacqueline elliott,0
9146082159,3850 amy pass silvaburgh mo 70733,robertsandrea@example.org,melissa simmons,0
5578710365,389 grimes rapid suite 617 south peterberg ca 02249,espinozaanna@example.net,joanne bryant,0
8380469229,89388 levy mountain davisville mo 22846,emily69@example.org,timothy hudson,0
2905588353,927 stewart squares woodsburgh ca 33216,kjohnson@example.net,marcus pierce,0
4601016438,psc 4493 box 7783 apo ap 20613,mmartinez@example.org,andrew pierce,0
4667771695,uscgc rivera fpo aa 17376,gkeller@example.net,sarah duran,0
8312063689,931 lisa ford apt 713 jeffreystad nj 00823,john24@example.org,katrina larson,0
1403810758,077 alec route north ashley hi 29790,silvadavid@example.net,henry lopez md,1
5746414730,48233 marc island suite 440 new melissamouth pw 30936,sandersjonathan@example.com,candice romero,0
7467749294,psc 7080 box 6552 apo ae 88033,krista64@example.net,leslie moore,0
7920361221,806 erika branch suite 159 lake sarahton me 10181,jay60@example.org,susan shaw,0
9059551033,uss decker fpo ae 99836,kristy02@example.org,darren sharp,0
6402644852,1946 lindsay springs suite 680 warrenville hi 03969,hansonwendy@example.net,rebecca boyd,0
4110167989,1183 garcia underpass west ashley sd 64668,cjones@example.net,james miller,0
0268596313,7583 davis field suite 126 andrestad al 33292,laura38@example.net,gregory lynch,0
2158237511,16876 justin gardens port richardport ok 31766,johnsonchristina@example.net,john green,0
4477344441,unit 7811 box 0435 dpo ap 86881,xchan@example.net,david freeman,1
9261252320,29794 arellano drive apt 630 millerburgh ga 01219,mikelopez@example.com,nathaniel nguyen,0
0952543559,565 peters estates lake albert mi 29777,tracyhiggins@example.com,ashley irwin,0
5395722264,psc 4597 box 5577 apo ae 05154,ccantrell@example.org,isabella carr,0
5762050289,6922 kristen pine apt 107 south donna mh 66928,odunn@example.com,carmen brown dvm,1
4430603736,psc 4135 box 8127 apo aa 41285,mercadowillie@example.net,alex oconnor,0
9940567559,9970 teresa well west victoriafort nh 03794,allenwilliam@example.com,christine holland,0
4383432880,1034 aaron falls colleenshire nd 13075,phammichael@example.com,dana mcintosh,0
5122465597,1612 mclean ports east lindaberg pr 35609,mjohnson@example.org,matthew patterson,0
8498813509,826 frank wall suite 996 kentfurt md 91883,osbornetimothy@example.net,cheryl foster,0
8405876050,97139 melissa fields apt 888 lake preston me 58245,tprince@example.com,stephen jackson,0
0582044869,710 best view suite 588 lake george fm 56712,ericwoods@example.net,andrew ruiz,0
7048645891,3946 christy center villarrealfort ct 79882,qmorgan@example.org,todd jimenez,0
8661160406,52742 donald island apt 366 south richardfurt ks 04185,jenkinsjorge@example.org,joseph ray,0
9023034641,846 sophia rd apt 623 north sarahmouth ak 07282,jay88@example.org,james shea,0
2905753820,30500 peter field apt 476 keystad oh 65455,krista48@example.net,teresa lopez,0
5959737526,4846 sanders radial south melissa ma 07363,emily74@example.com,amy norris,0
8914853806,uss rich fpo aa 07501,scott33@example.com,mark moore,0
5855557805,4747 hill ports apt 847 suzannetown dc 24917,ronnie35@example.net,steven osborn,0
3872688888,85177 joseph gardens suite 301 parkerview in 13155,emily15@example.org,juan huff,0
9124243948,367 smith prairie suite 265 veronicaview va 79361,kho@example.org,jessica mann,0
7069099804,534 gilbert key apt 143 lake franciscoburgh ri 13519,ylee@example.net,mary rodriguez,0
4066561788,uscgc shaffer fpo ap 60496,tannertaylor@example.net,samuel gonzales,0
1908117913,psc 6106 box 1590 apo ap 47411,elizabeth63@example.com,richard brock,0
7620426038,19446 stanley locks port yesenia ny 29488,dustin34@example.org,logan baker,0
3262552345,91968 jason key apt 591 rodriguezstad ny 58803,gmurray@example.org,penny johnson,0
6333485093,81354 ronald isle elizabethside va 69839,fergusondaniel@example.com,andrea spears,0
5592064733,4497 pena expressway west taylor pw 37598,apriloliver@example.net,gloria morton,0
2588697207,2786 mark forge suite 569 adamport va 22879,hardingjonathan@example.com,shannon alexander,0
5125876492,2052 lane point apt 794 fordmouth ks 14457,hmedina@example.net,douglas ortega,0
4856791148,0094 jessica pine new brandon tn 44286,ydecker@example.org,bradley pierce,0
